1	Embrik	Human	Human	SirPlnguin	Headless Horseman	Will-o-wisp	Foal	Yes	Assets/ui/monsters/embrik/idle/Embrik_idle_01.png
2	Pyrgard	Human	Human	SirPlnguin	Burning helm	Knight	Foal	No	Assets/ui/monsters/pyrgard/idle/pyrgard_idle_01.png
3	Manehelm	Human	Human	SirPlnguin	Lion	Burning helm	Knight	No	Assets/ui/monsters/manehelm/idle/manehelm_idle_01.png
4	Pagefin	Human	Human	SirPlnguin	Page squire	Royal guard	Salt-rimed fin	No	Assets/ui/monsters/pagefin/idle/pagefin_idle_01.png
5	Gothsire	Human	Human	SirPlnguin	Gothic architecture	Knight	Black pearl	No	Assets/ui/monsters/gothsire/idle/gothsire_idle_01.png
6	Lochmaw	Human	Human	SirPlnguin	Loch Ness Monster	Deep sea predator	Knight	Yes	Assets/ui/monsters/lochmaw/idle/lochmaw_idle_01.png
7	Cherune	Human	Human	SirPlnguin	Cherub	Guardian angel	Halo	Yes	Assets/ui/monsters/cherune/idle/cherune_idle_01.png
8	Seraphiel	Human	Human	SirPlnguin	Seraphim	Six-winged angel	Silvered blade	Yes	Assets/ui/monsters/seraphiel/idle/seraphiel_idle_01.png
9	Aurael	Human	Human	SirPlnguin	Aurora borealis	Crowned seraph	Mercy verdict	Yes	Assets/ui/monsters/aurael/idle/aurael_idle_01.png
10	Sheepot	Human	Human	Jet	Sheep	Barometz	Potted plant	Yes	Assets/ui/monsters/sheepot/idle/sheepot_idle_01.png
11	Cerametz	Human	Human	Jet	Sheep	Barometz	Glazed urn	Yes	Assets/ui/monsters/cerametz/idle/cerametz_idle_01.png
12	Wishlift	Human	Human	Spookior	Wish	Dandelion seed	Fae	Yes	Assets/ui/monsters/wishlift/idle/wishlift_idle_01.png
13	Twigsnap	AI	AI		Wendigo lure	Living branches	Lonely mimic	Yes	Assets/ui/monsters/twigsnap/idle/twigsnap_idle_01.png
13	Wishstar	Human	Human	Spookior	Cosmic king	Planet body	Sun crown	No	Assets/ui/monsters/wishstar/idle/wishstar_idle_01.png
